"filename", "language", "Python", "XML", "comment", "blank", "total"
"/home/sefa/git/odoo/16.0/addons/student/__init__.py", "Python", 1, 0, 0, 1, 2
"/home/sefa/git/odoo/16.0/addons/student/__manifest__.py", "Python", 30, 0, 2, 2, 34
"/home/sefa/git/odoo/16.0/addons/student/data/student_email_templates.xml", "XML", 0, 238, 4, 13, 255
"/home/sefa/git/odoo/16.0/addons/student/data/student_groups.xml", "XML", 0, 24, 1, 3, 28
"/home/sefa/git/odoo/16.0/addons/student/data/student_regulations.xml", "XML", 0, 124, 7, 14, 145
"/home/sefa/git/odoo/16.0/addons/student/models/__init__.py", "Python", 1, 0, 0, 1, 2
"/home/sefa/git/odoo/16.0/addons/student/models/student_application.py", "Python", 186, 0, 27, 59, 272
"/home/sefa/git/odoo/16.0/addons/student/models/student_event.py", "Python", 86, 0, 10, 18, 114
"/home/sefa/git/odoo/16.0/addons/student/models/student_faculty.py", "Python", 39, 0, 0, 12, 51
"/home/sefa/git/odoo/16.0/addons/student/models/student_professor.py", "Python", 31, 0, 1, 10, 42
"/home/sefa/git/odoo/16.0/addons/student/models/student_program.py", "Python", 23, 0, 0, 6, 29
"/home/sefa/git/odoo/16.0/addons/student/models/student_project.py", "Python", 315, 0, 49, 81, 445
"/home/sefa/git/odoo/16.0/addons/student/models/student_proposal.py", "Python", 141, 0, 14, 46, 201
"/home/sefa/git/odoo/16.0/addons/student/models/student_student.py", "Python", 63, 0, 2, 15, 80
"/home/sefa/git/odoo/16.0/addons/student/models/student_supervisor.py", "Python", 16, 0, 0, 8, 24
"/home/sefa/git/odoo/16.0/addons/student/models/student_utils.py", "Python", 97, 0, 6, 19, 122
"/home/sefa/git/odoo/16.0/addons/student/views/student_application_views.xml", "XML", 0, 201, 4, 9, 214
"/home/sefa/git/odoo/16.0/addons/student/views/student_event_views.xml", "XML", 0, 162, 2, 7, 171
"/home/sefa/git/odoo/16.0/addons/student/views/student_faculty_views.xml", "XML", 0, 114, 0, 3, 117
"/home/sefa/git/odoo/16.0/addons/student/views/student_menus.xml", "XML", 0, 37, 0, 11, 48
"/home/sefa/git/odoo/16.0/addons/student/views/student_professor_views.xml", "XML", 0, 83, 2, 3, 88
"/home/sefa/git/odoo/16.0/addons/student/views/student_program_views.xml", "XML", 0, 88, 0, 3, 91
"/home/sefa/git/odoo/16.0/addons/student/views/student_project_views.xml", "XML", 0, 314, 6, 13, 333
"/home/sefa/git/odoo/16.0/addons/student/views/student_proposal_views.xml", "XML", 0, 152, 1, 8, 161
"/home/sefa/git/odoo/16.0/addons/student/views/student_student_views.xml", "XML", 0, 89, 1, 4, 94
"/home/sefa/git/odoo/16.0/addons/student/views/student_supervisor_views.xml", "XML", 0, 69, 12, 3, 84
"/home/sefa/git/odoo/16.0/addons/student/views/student_util_views.xml", "XML", 0, 53, 0, 3, 56
"Total", "-", 1029, 1748, 151, 375, 3303
